role,company,location,time,link,scraped
Data Analyst,Appen,"Karnataka, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237248114?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=HTF6x%2B63y9Qkca3uMVbF6w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237248108?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=Q4nQQwLFgVl3oatY%2FBPfzA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3241429231?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=BNCL5RnzKaQV%2FtuJ%2BkSbEQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237247447?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=qYjwn6ycgCMhJq%2FXeOaMNA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3240393676?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=r8SkhSOHB5AvL4VZ0mTOCg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
"Learn Data Analyst with Python, SQL & Tableau",Lejhro Bootcamp,India,37 minutes ago,https://in.linkedin.com/jobs/view/learn-data-analyst-with-python-sql-tableau-at-lejhro-bootcamp-3243697970?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=6qv9D4bUg3ioAIXX%2BRa92Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
"Learn Data Analyst with Python, SQL & Tableau",LEJHRO,India,2 hours ago,https://in.linkedin.com/jobs/view/learn-data-analyst-with-python-sql-tableau-at-lejhro-3237247250?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=meRkKXM%2FuCWXIB9ufs%2FpNg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
(SQL) Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3240395550?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=OWvYxU8kxeLwE6nUe6B70Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Nation with NaMo,"Gurugram, Haryana, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-nation-with-namo-3240355966?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=rK8fz%2F5k3OBMqX0FrHElGw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
"Learn Data Analyst with Python, SQL & Tableau",Lejhro Bootcamp,India,2 hours ago,https://in.linkedin.com/jobs/view/learn-data-analyst-with-python-sql-tableau-at-lejhro-bootcamp-3241433354?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=bHrrOU183MIdUGXRg%2BHt6A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst with R Programming,V5 Global Services Private Limited.,"Pune, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-with-r-programming-at-v5-global-services-private-limited-3241490655?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=YVxRgsd2E%2FElwYgVhq5neQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst (SQL & Python),Giant Eagle GCC,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3240392787?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=KuTmX7zh%2BeaBnynQpeIRjw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Analyst - Data Science - Python/Machine Learning/Analytics,HuQuo,"Gurugram, Haryana, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-python-machine-learning-analytics-at-huquo-3240800425?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=ooL9cqEvMhlXwl4yCYeB%2Fw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Engineer,Fortune 100 Company,"Bangalore Urban, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-fortune-100-company-3241439796?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=%2BVvuFAmc0gd8nxiwqULtPw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Engineer,RBS Manpower Solutions,India,3 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-rbs-manpower-solutions-3241422759?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=7EPoSMaHPrlUa%2BWG7gdwaw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Engineer,ValueLabs,"Hyderabad, Telangana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-valuelabs-3237224967?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=sXTFR40xpgE1OzCv%2FbDvoA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Engineer,NLB Services,Greater Bengaluru Area,1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-nlb-services-3237252026?refId=JYEyMWkAaJJP2Mf1x%2Fejmg%3D%3D&trackingId=zQJczOhuEFSMREpqtRfUZA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
