role,company,location,time,link,scraped
Data Engineer- Azure,Confidential Jobs,"Delhi, India",57 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-azure-at-confidential-jobs-3247195926?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=np8S%2BNYIGK1Zxr%2FsfKNLmA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
AM - Analytics-ANA004742,Genpact,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/am-analytics-ana004742-at-genpact-3118803572?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=r47K0Zo6nwMd2tAAE1yLeg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer [5+ years],Synechron,"Pune, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/data-engineer-5%2B-years-at-synechron-3145521620?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=xXherppzKdOH36VhxVx1fA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Manager/Senior Manager - Data Analyst,HuQuo,"Ahmedabad, Gujarat, India",12 hours ago,https://in.linkedin.com/jobs/view/manager-senior-manager-data-analyst-at-huquo-3252189632?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=r9aK%2FGt5o%2Bg87mz9FbD5bg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Xiaomi India,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-xiaomi-india-3247145802?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=rQtrF5w30GWK%2F3HLcwRBsQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst,LEJHRO,India,29 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-3247807263?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=a5TREKLsgIhgm4EwCHNIDQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Learn Data Analyst,LEJHRO,India,9 minutes ago,https://in.linkedin.com/jobs/view/learn-data-analyst-at-lejhro-3252911954?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=pgudK3GdT7CH85z3WTojhg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,Study Group,"Delhi, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-study-group-3247186473?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=N3xuFrcQdNUDjFUHrBFaKQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
StratMed - Data Analyst,StratMed,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/stratmed-data-analyst-at-stratmed-3252190471?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=eMPxO2OdkKPPutPrbdahaA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3252182840?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=jMin2HfPzukTK%2FdqRrSH6Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
